id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,hashtags,query,in_reply_to_screen_name,in_reply_to_status_id,user_mention,url,lat,lng,media
379007585023959040,https://twitter.com/dimensiondnb/status/379007585023959040,2013-09-14 22:23:44+00:00,Big night out #yolo http://t.co/pkcx0TSofL,en,0,dimensiondnb,yolo,lang:en #yolo,,,,http://instagram.com/p/eQeh5JMki_/,,,
379007578371411968,https://twitter.com/CICain21/status/379007578371411968,2013-09-14 22:23:42+00:00,On that mowing grind ....#Grinding #Yolo #NotOnFlecksLevel #StillAScrub #GettingThere http://t.co/iPkxegDikH,en,0,CICain21,Grinding,lang:en #yolo,,,,,,,https://pbs.twimg.com/media/BUKBYmdCYAAeOcR.jpg
379007570469322752,https://twitter.com/savanafe/status/379007570469322752,2013-09-14 22:23:41+00:00,I never could eat the soft serve ice cream at the games while I was dancing... Now I can #yolo #livingitup,en,0,savanafe,yolo,lang:en #yolo,,,,,,,
379007534138667008,https://twitter.com/iPhilosophe/status/379007534138667008,2013-09-14 22:23:32+00:00,#Beautiful #moments #with #my #bff #smile #swag #tumblr #twitter #instagram #yellow #yolo #memories… http://t.co/i7nRI2DqLP,en,1,iPhilosophe,Beautiful,lang:en #yolo,,,,http://instagram.com/p/eQeYCLNJhz/,,,
379007531382611969,https://twitter.com/kat_ed7/status/379007531382611969,2013-09-14 22:23:31+00:00,Selfie count on my 11-year old neighbor's Instagram in the last 24 hours: 7 #swag #yolo,en,0,kat_ed7,swag,lang:en #yolo,,,,,,,
379007458016264192,https://twitter.com/zarasimmonds/status/379007458016264192,2013-09-14 22:23:14+00:00,I'm eating porridge at 11.22 on a Saturday eve #yolo,en,0,zarasimmonds,yolo,lang:en #yolo,,,,,,,
379007400470413312,https://twitter.com/Ollie_Pannell/status/379007400470413312,2013-09-14 22:23:00+00:00,RT @SchendelEllie: MIX it up #yolo http://t.co/atwNMNwLGa,en,1,Ollie_Pannell,yolo,lang:en #yolo,,,SchendelEllie,,,,https://pbs.twimg.com/media/BUKA55rIEAE_ZAY.jpg
379007378060238848,https://twitter.com/HannahLJacobs1D/status/379007378060238848,2013-09-14 22:22:55+00:00,"first shift at As You Like It done, may aswell go out to celeb #yolo",en,0,HannahLJacobs1D,yolo,lang:en #yolo,,,,,,,
379007352864649216,https://twitter.com/madelinemoon_/status/379007352864649216,2013-09-14 22:22:49+00:00,if we're friends send me a dm &amp; I will send you the address of my party 2night #yolo #birthday #swag #friends #2chainz,en,0,madelinemoon_,yolo,lang:en #yolo,,,,,,,
379007242533888000,https://twitter.com/AlfPerez_/status/379007242533888000,2013-09-14 22:22:22+00:00,We found love in a hopless place. #yolo #swag #paps http://t.co/rF6tVwrZcO,en,0,AlfPerez_,yolo,lang:en #yolo,,,,http://instagram.com/p/eQeRysGLnw/,,,
