id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,lat,lng,url,hashtags,query,user_mention,in_reply_to_screen_name,in_reply_to_status_id,media
378912166536966144,https://twitter.com/cuncimokus94/status/378912166536966144,2013-09-14 16:04:35+00:00,how do i get more followers? #help #hashtag #rain #follow #leageoflegens #hipster #gay #justinbieber #onedirection,en,0,cuncimokus94,,,,help,lang:en #hashtag,,,,
378912095439302656,https://twitter.com/Conzortia/status/378912095439302656,2013-09-14 16:04:18+00:00,So am using @twitter app. Why isn't #hashtag &amp; @ symbol on main keyboard? #PoorDesign,en,0,Conzortia,30.20306478,-95.2294325,,hashtag,lang:en #hashtag,twitter,,,
378911856574074880,https://twitter.com/ClemCat10/status/378911856574074880,2013-09-14 16:03:21+00:00,All packed for tomorrow! #uni #dundee #abertay #hashtag http://t.co/ucDb0C1177,en,0,ClemCat10,,,http://instagram.com/p/ePy8y9msG4/,uni,lang:en #hashtag,,,,
378911788697255936,https://twitter.com/AnnaNel04816853/status/378911788697255936,2013-09-14 16:03:04+00:00,Am I the only on who hates #hashtag??,en,0,AnnaNel04816853,,,,hashtag,lang:en #hashtag,,,,
378911642865500161,https://twitter.com/Jewminatti/status/378911642865500161,2013-09-14 16:02:30+00:00,"#Friends #Fans #Supporters of @Jewminatti Use #Hashtag #Pound 
""#Jewminatti &amp; #JewminattiGangGang"" in the #USA &amp; "" #OracleGang "" #worldwide.",en,0,Jewminatti,,,,Friends,lang:en #hashtag,Jewminatti,,,
378911272332709888,https://twitter.com/_skayala/status/378911272332709888,2013-09-14 16:01:01+00:00,"Uhh, good-morning.☀🌸. #riseandshine #dyedhair #mornigselfie #ryansclothes #excusemyface #hashtag #idunno. http://t.co/QoxHt3lcxE",en,0,_skayala,,,http://instagram.com/p/ePykQiu4rK/,riseandshine,lang:en #hashtag,,,,
378911269761187840,https://twitter.com/Viperaetn/status/378911269761187840,2013-09-14 16:01:01+00:00,#people #who #hashtag #everyword #they #say annoy me,en,0,Viperaetn,,,,people,lang:en #hashtag,,,,
378911180921655296,https://twitter.com/42wallebyway/status/378911180921655296,2013-09-14 16:00:40+00:00,@kendrasummer is such a bad influence #skulls #wearingskulls #infinity #anchor #girlswithink #hashtag #ballsballsballs,en,0,42wallebyway,,,,skulls,lang:en #hashtag,kendrasummer,kendrasummer,,
378911092208316416,https://twitter.com/HiiImPaul/status/378911092208316416,2013-09-14 16:00:18+00:00,Bieber Is An Idiot (Joke) #JustinBieber #Bieber #BeLike #Funny #Joke #Idiot #OneDirection #Wednesday #Hashtag  https://t.co/z1bhtjJ0gW,en,1,HiiImPaul,,,https://vine.co/v/hMHbtZn5hgu,JustinBieber,lang:en #hashtag,,,,
378910934766325760,https://twitter.com/SocialPowerHour/status/378910934766325760,2013-09-14 15:59:41+00:00,#Hashtag Contest on Twitter with @SocialPowerHour http://t.co/BsaW2P0is7 #Chicago #JustFun #Nightlife,en,0,SocialPowerHour,,,http://tinyurl.com/mzdv4gx,Hashtag,lang:en #hashtag,SocialPowerHour,,,
